Epoch ,1,2,3,4,5,6,7,8,9,10
Class 1,"(0.40845191153780214, 0.9031463229719484)","(0.5821856094735487, 0.8572782410917361)","(0.5167748322516775, 0.8904473085670963)","(0.5226004158914305, 0.9050416982562547)","(0.5279846535770706, 0.8868460955269143)","(0.568516699410609, 0.8775587566338134)","(0.45377832559021525, 0.9071266110689916)","(0.5194438409732783, 0.9063684609552691)","(0.5291797192249681, 0.8644806671721)","(0.4562631881833877, 0.9016300227445034)"
Class 2,"(0.4933046935697637, 0.9297958480489276)","(0.5112377926265128, 0.9424584374192437)","(0.5075465564482422, 0.9414247566543199)","(0.5608364032584444, 0.9310879490050823)","(0.4969890510948905, 0.9384098544232923)","(0.5448272413620681, 0.9385821345507795)","(0.48698851399856424, 0.9349642518735464)","(0.5306122448979592, 0.9294512877939529)","(0.47174872371722765, 0.9392712550607287)","(0.5608527962288408, 0.9018864673959859)"
Class 3,"(0.4103051982647081, 0.9452919516044187)","(0.4562689585439838, 0.9495002630194634)","(0.4945968412302577, 0.9389794844818516)","(0.5329359466558901, 0.924951779765036)","(0.5073133179368745, 0.9244257408381553)","(0.5161485668146952, 0.8967210240224444)","(0.5811672967863895, 0.862528493775206)","(0.552849018134993, 0.9033841837629318)","(0.43432799806965333, 0.9468700683850605)","(0.591824502517382, 0.8656847273364896)"
Class 4 ,"(0.38676933846692335, 0.9005704971475142)","(0.4738514173998045, 0.7901385493072535)","(0.49451371571072317, 0.8080684596577017)","(0.4365899978898502, 0.8431132844335778)","(0.4401791426743442, 0.8410757946210269)","(0.500131891321551, 0.7726161369193154)","(0.4973410990124082, 0.8003259983700082)","(0.47881773399014776, 0.7921760391198044)","(0.39869281045751637, 0.7705786471067645)","(0.46474654377880187, 0.8219233903830481)"
Class 5 ,"(0.4413793103448276, 0.5614035087719298)","(0.5507246376811594, 0.5)","(0.4916387959866221, 0.6447368421052632)","(0.5421052631578948, 0.4517543859649123)","(0.525691699604743, 0.5833333333333334)","(0.6363636363636364, 0.6140350877192983)","(0.4630225080385852, 0.631578947368421)","(0.5185185185185185, 0.7368421052631579)","(0.7049180327868853, 0.5657894736842105)","(0.5390946502057613, 0.5745614035087719)"
Class 6,"(0.4034915439170758, 0.930314465408805)","(0.579396897333101, 0.8362264150943396)","(0.5608856088560885, 0.8412578616352201)","(0.4441143705904196, 0.9026415094339623)","(0.5026622535616635, 0.8787421383647799)","(0.6226856363282012, 0.8037735849056604)","(0.48329896907216496, 0.8845283018867924)","(0.5237877401646843, 0.8641509433962264)","(0.4692651578653255, 0.8450314465408805)","(0.4814310978098218, 0.890314465408805)"
